title	date	month	year	location
CSHL Genome Informatics 2023	2023-12-06T00:00:00Z	Dec	2023	Cold Spring Harbor, NY, USA
AnVIL Demos: Collecting and subsetting SRA data	2023-12-14T00:00:00Z	Dec	2023	Virtual
AnVIL Demos	2024-01-25T00:00:00Z	Jan	2024	Virtual
Advances in Genome Biology and Technology 2024	2024-02-05T00:00:00Z	Feb	2024	Orlando, FL
AnVIL Demos	2024-02-29T00:00:00Z	Feb	2024	Virtual
AnVIL Demos	2024-03-21T00:00:00Z	Mar	2024	Virtual
AnVIL Demos	2024-04-18T00:00:00Z	Apr	2024	Virtual
AnVIL Demos	2024-05-23T00:00:00Z	May	2024	Virtual
AnVIL Demos	2024-06-20T00:00:00Z	Jun	2024	Virtual
AnVIL Demos	2024-07-25T00:00:00Z	Jul	2024	Virtual
AnVIL Demos	2024-08-22T00:00:00Z	Aug	2024	Virtual
AnVIL Demos	2024-09-26T00:00:00Z	Sep	2024	Virtual
AnVIL Demos	2024-10-24T00:00:00Z	Oct	2024	Virtual
AnVIL Demos	2024-11-14T00:00:00Z	Nov	2024	Virtual
AnVIL Demos	2024-12-19T00:00:00Z	Dec	2024	Virtual
